Price,Location,City,Area,No. of Bedrooms,No. of Bathrooms,No.of floor,ATM,School,24X7Security,CarParking,Hospital,Latitude,Longitude
4600000,Ashoka Road,Bangalore,1800,3,3,1,1,1,1,1,1,25.375263,83.0267397
8400000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
7840000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
6517000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
5487000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
5244000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
5070000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
4148000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
4146000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
4118000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
4070000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
3851000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
3650000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
3045000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
2811000,Attibele,Bangalore,771,2,2,0,1,1,1,1,1,12.7782588,77.7712834
2800000,Attibele,Bangalore,1000,1,1,0,0,0,0,0,0,12.7782588,77.7712834
2800000,Attibele,Bangalore,1000,2,2,0,0,0,1,0,0,12.7782588,77.7712834
2800000,Attibele,Bangalore,1000,2,2,0,0,0,1,0,0,12.7782588,77.7712834
2800000,Attibele,Bangalore,1000,2,2,0,0,0,1,0,0,12.7782588,77.7712834
3010000,Attibele,Bangalore,1075,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3010000,Attibele,Bangalore,1075,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3010000,Attibele,Bangalore,1075,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3010000,Attibele,Bangalore,1075,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3038000,Attibele,Bangalore,1085,2,2,0,0,0,1,0,0,12.7782588,77.7712834
3038000,Attibele,Bangalore,1085,2,2,0,0,0,1,0,0,12.7782588,77.7712834
3038000,Attibele,Bangalore,1085,2,2,0,0,0,1,0,0,12.7782588,77.7712834
2867000,Attibele,Bangalore,1147,2,2,0,1,0,1,1,0,12.7782588,77.7712834
3304000,Attibele,Bangalore,1180,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3304000,Attibele,Bangalore,1180,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3388000,Attibele,Bangalore,1210,3,3,1,0,0,1,0,0,12.7782588,77.7712834
3388000,Attibele,Bangalore,1210,3,3,1,0,0,1,0,0,12.7782588,77.7712834
5000000,Attibele,Bangalore,1281,2,2,0,1,1,1,1,1,12.7782588,77.7712834
3202000,Attibele,Bangalore,1281,2,2,0,1,0,1,1,0,12.7782588,77.7712834
3200000,Attibele,Bangalore,1281,2,2,0,1,1,1,1,1,12.7782588,77.7712834
3411111,Attibele,Bangalore,1365,3,3,1,1,0,1,1,0,12.7782588,77.7712834
3427000,Attibele,Bangalore,1371,3,3,1,1,0,1,1,0,12.7782588,77.7712834
3200000,Attibele,Bangalore,1371,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3682000,Attibele,Bangalore,1473,3,3,1,1,0,1,1,0,12.7782588,77.7712834
3400000,Attibele,Bangalore,1473,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3200000,Attibele,Bangalore,1473,3,3,1,1,1,1,1,1,12.7782588,77.7712834
4600000,Attibele,Bangalore,1521,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3822000,Attibele,Bangalore,1521,3,3,1,1,0,1,1,0,12.7782588,77.7712834
3600000,Attibele,Bangalore,1521,3,3,1,1,1,1,1,1,12.7782588,77.7712834
5256000,Attibele,Bangalore,1573,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3800000,Attibele,Bangalore,1573,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3132000,Attibele,Bangalore,1573,3,3,1,1,0,1,1,0,12.7782588,77.7712834
4017000,Attibele,Bangalore,1631,3,3,1,1,0,1,1,0,12.7782588,77.7712834
3100000,Attibele,Bangalore,1631,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3100000,Attibele,Bangalore,1631,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3100000,Attibele,Bangalore,1631,3,3,1,1,1,1,1,1,12.7782588,77.7712834
3800000,Attibele,Bangalore,1640,3,3,1,1,1,1,1,1,12.7782588,77.7712834
5500000,Babusabpalya,Bangalore,1076,2,2,0,1,1,1,1,1,13.0283523,77.650469
7840000,Babusabpalya,Bangalore,1113,2,2,0,1,1,1,1,1,13.0283523,77.650469
3800000,Babusabpalya,Bangalore,1188,2,2,0,1,1,1,1,1,13.0283523,77.650469
4110000,Babusabpalya,Bangalore,1201,2,2,0,1,1,1,1,1,13.0283523,77.650469
6528000,Bagalur,Bangalore,551,1,1,0,1,1,1,1,1,12.8310442,77.865842
3180000,Bagalur,Bangalore,1000,2,2,0,1,1,1,1,1,12.8310442,77.865842
4450000,Bagalur,Bangalore,1010,2,2,0,1,1,1,1,1,12.8310442,77.865842
3080000,Bagalur,Bangalore,1144,2,2,0,1,1,1,1,1,12.8310442,77.865842
6000000,Bagalur,Bangalore,1155,2,2,0,1,1,1,1,1,12.8310442,77.865842
3045000,Bagalur,Bangalore,1166,2,2,0,1,1,1,1,1,12.8310442,77.865842
5848000,Bagalur,Bangalore,1260,2,2,0,1,1,1,1,1,12.8310442,77.865842
8400000,Bagalur,Bangalore,1480,3,3,1,1,1,1,1,1,12.8310442,77.865842
2811000,Bagalur,Bangalore,1480,3,3,1,1,1,1,1,1,12.8310442,77.865842
4133000,Bagaluru,Bangalore,1020,2,2,0,1,1,1,1,1,13.1331868,77.6687093
3086000,Bagaluru,Bangalore,1025,2,2,0,1,1,1,1,1,13.1331868,77.6687093
4116000,Bagaluru,Bangalore,1030,2,2,0,1,1,1,1,1,13.1331868,77.6687093
5803000,Bagaluru,Bangalore,1800,3,3,1,1,1,1,1,1,13.1331868,77.6687093
5400000,Bagaluru,Bangalore,1810,3,3,1,1,1,1,1,1,13.1331868,77.6687093
5004000,Banashankari,Bangalore,1040,2,2,0,1,1,1,1,1,15.8876779,75.7046777
7145000,Banashankari,Bangalore,1300,3,3,1,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1326,3,3,1,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1331,2,2,0,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1332,3,3,1,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1333,3,3,1,1,1,1,1,1,15.8876779,75.7046777
6700000,Banashankari,Bangalore,1333,2,2,0,1,1,1,1,1,15.8876779,75.7046777
5500000,Banashankari,Bangalore,1333,2,2,0,1,1,1,1,1,15.8876779,75.7046777
4806000,Banashankari,Bangalore,1334,2,2,0,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1335,3,3,1,1,1,1,1,1,15.8876779,75.7046777
6851111,Banashankari,Bangalore,1336,2,2,0,1,1,1,1,1,15.8876779,75.7046777
5100000,Banashankari,Bangalore,1338,2,2,0,1,1,1,1,1,15.8876779,75.7046777
5100000,Banashankari,Bangalore,1340,3,3,1,0,0,0,0,0,15.8876779,75.7046777
4600000,Banashankari,Bangalore,1340,3,3,1,0,0,0,0,0,15.8876779,75.7046777
5710000,Banashankari,Bangalore,2130,3,3,1,1,1,1,1,1,15.8876779,75.7046777
5045000,Banashankari,Bangalore,2376,3,3,1,1,1,1,1,1,15.8876779,75.7046777
4148000,Banashankari,Bangalore,2376,3,3,1,1,1,1,1,1,15.8876779,75.7046777
7600000,Banashankari,Bangalore,2378,3,3,1,1,1,1,1,1,15.8876779,75.7046777
7651000,Banashankari,Bangalore,2522,3,3,1,1,1,1,1,1,15.8876779,75.7046777
4615000,Banashankari,Bangalore,2522,3,3,1,1,1,1,1,1,15.8876779,75.7046777
5258000,Banashankari,Bangalore,3033,4,4,1,1,1,1,1,1,15.8876779,75.7046777
6363000,Banashankari,Bangalore,3205,4,4,1,1,1,1,1,1,15.8876779,75.7046777
3100000,Banashankari 5th stage,Bangalore,1400,3,3,1,1,1,1,1,1,12.87984895,77.50939379
4150000,Banaswadi,Bangalore,710,2,2,0,1,1,1,1,1,13.0141618,77.6518539
6531111,Banaswadi,Bangalore,1005,2,2,0,0,0,1,1,0,13.0141618,77.6518539
6662000,Banaswadi,Bangalore,1025,2,2,0,0,0,1,1,0,13.0141618,77.6518539
5150000,Banaswadi,Bangalore,1100,2,2,0,1,1,1,1,1,13.0141618,77.6518539
5107000,Banaswadi,Bangalore,1100,2,2,0,1,1,1,1,1,13.0141618,77.6518539
4133000,Banaswadi,Bangalore,1100,2,2,0,1,1,1,1,1,13.0141618,77.6518539
7181111,Banaswadi,Bangalore,1105,2,2,0,0,0,1,1,0,13.0141618,77.6518539
5175000,Banaswadi,Bangalore,1110,2,2,0,1,1,1,1,1,13.0141618,77.6518539
5520000,Banaswadi,Bangalore,1120,2,2,0,1,1,1,1,1,13.0141618,77.6518539
7377000,Banaswadi,Bangalore,1135,2,2,0,0,0,1,1,0,13.0141618,77.6518539
3115000,Banaswadi,Bangalore,1150,3,3,1,1,1,1,1,1,13.0141618,77.6518539
7506111,Banaswadi,Bangalore,1155,2,2,0,0,0,1,1,0,13.0141618,77.6518539
5383000,Banaswadi,Bangalore,1185,2,2,0,1,1,1,1,1,13.0141618,77.6518539
7456000,Banaswadi,Bangalore,1252,2,2,0,1,1,1,1,1,13.0141618,77.6518539
4700000,Banaswadi,Bangalore,1312,2,2,0,1,1,1,1,1,13.0141618,77.6518539
5800000,Banaswadi,Bangalore,1360,3,3,1,1,1,1,1,1,13.0141618,77.6518539
7150000,Banaswadi,Bangalore,1410,3,3,1,1,1,1,1,1,13.0141618,77.6518539
7505000,Banaswadi,Bangalore,1800,3,3,1,1,1,1,1,1,13.0141618,77.6518539
5200000,Banaswadi,Bangalore,1800,3,3,1,1,1,1,1,1,13.0141618,77.6518539
4133000,Banaswadi,Bangalore,1875,3,3,1,1,1,1,1,1,13.0141618,77.6518539
3600000,Banaswadi,Bangalore,1875,3,3,1,1,1,1,1,1,13.0141618,77.6518539
8000000,Banaswadi,Bangalore,2500,3,3,1,1,1,1,1,1,13.0141618,77.6518539
5100000,Bangalore Road,Bangalore,1151,2,2,0,1,1,1,1,1,-29.5667898,30.402512
8200000,Bannerghatta,Bangalore,720,1,1,0,1,1,1,1,1,12.53290595,77.54619069
5200000,Bannerghatta,Bangalore,838,2,2,0,1,1,1,1,1,12.53290595,77.54619069
4320000,Bannerghatta Main Road,Bangalore,1000,2,2,0,1,1,1,1,1,12.805373,77.5937843
5100000,Basavanagudi,Bangalore,1500,3,3,1,1,1,1,1,1,12.9417261,77.5755021
5140000,Begur,Bangalore,644,1,1,0,1,0,1,1,0,41.9541918,3.2088349
5473000,Begur,Bangalore,1010,2,2,0,0,0,1,0,0,41.9541918,3.2088349
4635000,Begur,Bangalore,1017,2,2,0,0,0,0,1,0,41.9541918,3.2088349
4600000,Begur,Bangalore,1017,2,2,0,0,0,0,0,0,41.9541918,3.2088349
4600000,Begur,Bangalore,1017,2,2,0,0,0,0,0,0,41.9541918,3.2088349
4500000,Begur,Bangalore,1017,2,2,0,0,0,1,0,0,41.9541918,3.2088349
6513000,Begur,Bangalore,1024,2,2,0,1,1,1,1,1,41.9541918,3.2088349
4172000,Begur,Bangalore,1036,2,2,0,0,0,1,1,0,41.9541918,3.2088349
3030000,Begur,Bangalore,1065,2,2,0,1,1,1,1,1,41.9541918,3.2088349
4560000,Begur,Bangalore,1076,2,2,0,0,0,0,1,0,41.9541918,3.2088349
4550000,Begur,Bangalore,1076,2,2,0,0,0,0,0,0,41.9541918,3.2088349
4500000,Begur,Bangalore,1076,2,2,0,0,0,0,0,0,41.9541918,3.2088349
4500000,Begur,Bangalore,1076,2,2,0,0,0,0,0,0,41.9541918,3.2088349
4300000,Begur,Bangalore,1076,2,2,0,0,0,0,0,0,41.9541918,3.2088349
3800000,Begur,Bangalore,1076,2,2,0,1,1,1,1,1,41.9541918,3.2088349
4641000,Begur,Bangalore,1077,2,2,0,1,1,1,1,1,41.9541918,3.2088349
5426000,Begur,Bangalore,1080,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5426000,Begur,Bangalore,1080,2,2,0,0,0,1,0,0,41.9541918,3.2088349
6700000,Begur,Bangalore,1086,2,2,0,1,1,1,1,1,41.9541918,3.2088349
4700000,Begur,Bangalore,1103,3,3,1,1,1,1,1,1,41.9541918,3.2088349
4700000,Begur,Bangalore,1103,3,3,1,1,1,1,1,1,41.9541918,3.2088349
7172000,Begur,Bangalore,1106,3,3,1,1,1,1,1,1,41.9541918,3.2088349
8516000,Begur,Bangalore,1110,2,2,0,0,0,1,0,0,41.9541918,3.2088349
8528000,Begur,Bangalore,1112,2,2,0,0,0,1,0,0,41.9541918,3.2088349
6151111,Begur,Bangalore,1115,2,2,0,1,1,1,1,1,41.9541918,3.2088349
6800000,Begur,Bangalore,1117,2,2,0,1,0,1,1,0,41.9541918,3.2088349
3140000,Begur,Bangalore,1117,2,2,0,1,1,1,1,1,41.9541918,3.2088349
6830000,Begur,Bangalore,1118,2,2,0,1,0,1,1,0,41.9541918,3.2088349
6750000,Begur,Bangalore,1118,2,2,0,1,0,1,1,0,41.9541918,3.2088349
4700000,Begur,Bangalore,1124,1,1,0,0,0,0,1,0,41.9541918,3.2088349
5600000,Begur,Bangalore,1130,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5700000,Begur,Bangalore,1140,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5755000,Begur,Bangalore,1150,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5800000,Begur,Bangalore,1160,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5825000,Begur,Bangalore,1165,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5841000,Begur,Bangalore,1170,2,2,0,0,0,1,0,0,41.9541918,3.2088349
5816000,Begur,Bangalore,1180,2,2,0,0,0,1,0,0,41.9541918,3.2088349
4100000,Begur,Bangalore,1187,2,2,0,0,0,1,0,0,41.9541918,3.2088349
4100000,Begur,Bangalore,1187,2,2,0,0,0,1,0,0,41.9541918,3.2088349
6618000,Begur,Bangalore,1207,2,2,0,1,1,1,1,1,41.9541918,3.2088349
8644000,Begur,Bangalore,1210,2,2,0,0,0,1,0,0,41.9541918,3.2088349
7180000,Begur,Bangalore,1210,2,2,0,1,1,1,1,1,41.9541918,3.2088349
7000000,Begur,Bangalore,1210,2,2,0,1,0,1,1,0,41.9541918,3.2088349
6230000,Begur,Bangalore,1218,3,3,1,0,0,1,1,0,41.9541918,3.2088349
7300000,Begur,Bangalore,1220,2,2,0,1,0,1,1,0,41.9541918,3.2088349
6180000,Begur,Bangalore,1220,2,2,0,1,1,1,1,1,41.9541918,3.2088349
6000000,Begur,Bangalore,1220,2,2,0,0,0,1,0,0,41.9541918,3.2088349
7450000,Begur,Bangalore,1221,2,2,0,1,0,1,1,0,41.9541918,3.2088349
6043000,Begur,Bangalore,1223,2,2,0,1,1,1,1,1,41.9541918,3.2088349
3800000,Begur,Bangalore,1223,2,2,0,1,1,1,1,1,41.9541918,3.2088349
3140000,Begur,Bangalore,1227,2,2,0,1,1,1,1,1,41.9541918,3.2088349
5460000,Begur,Bangalore,1230,2,2,0,1,1,1,1,1,41.9541918,3.2088349
5166000,Begur,Bangalore,1230,2,2,0,0,0,1,1,0,41.9541918,3.2088349
3600000,Begur,Bangalore,1230,2,2,0,1,1,1,1,1,41.9541918,3.2088349
7450000,Begur,Bangalore,1232,2,2,0,1,0,1,1,0,41.9541918,3.2088349
7300000,Begur,Bangalore,1232,2,2,0,1,0,1,1,0,41.9541918,3.2088349
8804000,Begur,Bangalore,1235,2,2,0,0,0,1,0,0,41.9541918,3.2088349
7220000,Begur,Bangalore,1235,2,2,0,1,1,1,1,1,41.9541918,3.2088349
7180000,Begur,Bangalore,1235,2,2,0,0,0,0,0,0,41.9541918,3.2088349
6600000,Begur,Bangalore,1235,2,2,0,1,1,1,1,1,41.9541918,3.2088349
6555000,Begur,Bangalore,1235,2,2,0,1,1,1,1,1,41.9541918,3.2088349
5150000,Begur,Bangalore,1235,2,2,0,0,0,0,0,0,41.9541918,3.2088349
5150000,Begur,Bangalore,1235,2,2,0,0,0,0,1,0,41.9541918,3.2088349
8836000,Begur,Bangalore,1240,2,2,0,0,0,1,0,0,41.9541918,3.2088349
7800000,Begur,Bangalore,1241,2,2,0,1,0,1,1,0,41.9541918,3.2088349
7600000,Begur,Bangalore,1241,2,2,0,1,0,1,1,0,41.9541918,3.2088349
7140000,Begur,Bangalore,1241,2,2,0,1,1,1,1,1,41.9541918,3.2088349
8868000,Begur,Bangalore,1245,2,2,0,0,0,1,0,0,41.9541918,3.2088349
6526000,Begur,Bangalore,1255,2,2,0,1,1,1,1,1,41.9541918,3.2088349
6526000,Begur,Bangalore,1255,2,2,0,1,1,1,1,1,41.9541918,3.2088349
8001000,Begur,Bangalore,1265,3,3,1,0,0,1,1,0,41.9541918,3.2088349
6600000,Begur,Bangalore,1303,3,3,1,1,1,1,1,1,41.9541918,3.2088349
5552000,Begur,Bangalore,1322,2,2,0,0,0,1,1,0,41.9541918,3.2088349
8700000,Begur,Bangalore,1324,3,3,1,1,1,1,1,1,41.9541918,3.2088349
6577000,Begur,Bangalore,1325,3,3,1,0,0,1,0,0,41.9541918,3.2088349
4100000,Begur,Bangalore,1326,3,3,1,1,1,1,1,1,41.9541918,3.2088349
6417000,Begur,Bangalore,1337,3,3,1,0,0,1,1,0,41.9541918,3.2088349
6451111,Begur,Bangalore,1346,3,3,1,0,0,1,1,0,41.9541918,3.2088349
6615000,Begur,Bangalore,1350,3,3,1,0,0,1,0,0,41.9541918,3.2088349
6523000,Begur,Bangalore,1351,3,3,1,0,0,1,1,0,41.9541918,3.2088349
7800000,Begur,Bangalore,1358,3,3,1,1,0,1,1,0,41.9541918,3.2088349
7050000,Begur,Bangalore,1358,2,2,0,1,1,1,1,1,41.9541918,3.2088349
5063000,Begur,Bangalore,1363,3,3,1,1,1,1,1,1,41.9541918,3.2088349
7800000,Begur,Bangalore,1366,3,3,1,1,0,1,1,0,41.9541918,3.2088349
8350000,Begur,Bangalore,1368,3,3,1,1,0,1,1,0,41.9541918,3.2088349
8050000,Begur,Bangalore,1368,3,3,1,1,0,1,1,0,41.9541918,3.2088349
